#  year,  month,    day
2015,   6,  18,  63
2015,   6,  19,  16
2015,   6,  22,  53
2015,   6,  23,  62
2015,   6,  24,   7
2015,   6,  25,   5
2015,   6,  26,  61
2015,   6,  29,  63
2015,   6,  30,   5
2015,   7,   1,  63
2015,   7,   2,  63
2015,   7,   3,  63
2015,   7,   6,  61
2015,   7,   7,  63
2015,   7,   8,  63
2015,   7,   9,  62
2015,   7,  10,  63
2015,   7,  13,  60
2015,   7,  14,  63
2015,   7,  15,  63
2015,   7,  16,  63
2015,   7,  17,  63
2015,   7,  20,  63
2015,   7,  21,  63
2015,   7,  22,  63
2015,   7,  23,  63
2015,   7,  24,  31
2015,   7,  27,  63
2015,   7,  28,  63
2015,   7,  29,  63
2015,   7,  30,  63
2015,   7,  31,  63
2015,   8,   3,   4
2015,   8,   4,  28
2015,   8,   5,  12
2015,   8,   6,   8
2015,   8,   7,  28
2015,   8,  10,  63
2015,   8,  11,  27
2015,   8,  12,  28
2015,   8,  13,  63
2015,   8,  14,   0
2015,   8,  17,  63
2015,   8,  18,  63
2015,   8,  19,  63
2015,   8,  20,  31
2015,   8,  21,  58
2015,   8,  24,  63
2015,   8,  25,  63
2015,   8,  26,  63
2015,   8,  27,  63
2015,   8,  28,  63
2015,   8,  31,  63
2015,   9,   1,  63
2015,   9,   2,  63
2015,   9,   3,  63
2015,   9,   4,  63
2015,   9,   7,  63
2015,   9,   8,  63
2015,   9,   9,  63
2015,   9,  10,  62
2015,   9,  11,  63
2015,   9,  14,  63
2015,   9,  15,  63
2015,   9,  16,  62
2015,   9,  17,  63
2015,   9,  18,  63
2015,   9,  21,  63
2015,   9,  22,  62
2015,   9,  23,  17
2015,   9,  24,  63
2015,   9,  25,  58
2015,   9,  29,   0
2015,   9,  30,  18
2015,  10,   1,  28
2015,  10,   2,  62
2015,  10,   5,  60
2015,  10,   6,  56
2015,  10,   7,  60
2015,  10,   8,  28
2015,  10,  12,  15
2015,  10,  13,  30
2015,  10,  14,  62
2015,  10,  15,  62
2015,  10,  16,  60
2015,  10,  19,  62
2015,  10,  20,  62
2015,  10,  21,  62
2015,  10,  22,  48
2015,  10,  23,  63
2015,  10,  26,  62
2015,  10,  27,  63
2015,  10,  28,  63
2015,  10,  29,   7
2015,  10,  30,  32
2015,  11,   2,  15
2015,  11,   3,  15
2015,  11,   4,  15
2015,  11,   5,   7
2015,  11,   6,   0
2015,  11,   9,   0
2015,  11,  10,   0
2015,  11,  11,   1
2015,  11,  12,  15
2015,  11,  13,   0
2015,  11,  16,   3
2015,  11,  17,  14
2015,  11,  18,   0
2015,  11,  19,   7
2015,  11,  20,   1
2015,  11,  23,   5
2015,  11,  24,   3
2015,  11,  25,   1
2015,  11,  26,   7
2015,  11,  27,   0
2015,  11,  30,   1
2015,  12,   1,   0
2015,  12,   2,   3
2015,  12,   3,   4
2015,  12,   4,   3
