#                   year,                   month,                     day,             00:00-00:59,             01:00-01:59,             02:00-02:59,             03:00-03:59,             04:00-04:59,             05:00-05:59,             06:00-06:59,             07:00-07:59,             08:00-08:59,             09:00-09:59,             10:00-10:59,             11:00-11:59,             12:00-12:59,             13:00-13:59,             14:00-14:59,             15:00-15:59,             16:00-16:59,             17:00-17:59,             18:00-18:59,             19:00-19:59,             20:00-20:59,             21:00-21:59,             22:00-22:59,             23:00-23:59
2.018000000000000000e+03,3.000000000000000000e+00,2.800000000000000000e+01,-7.812500000000000000e+00,1.400180053710937500e+02,1.406250000000000000e+02,1.328125000000000000e+02,2.031250000000000000e+02,1.835937500000000000e+02,2.211976318359375000e+02,3.535156250000000000e+02,3.671875000000000000e+02,3.369140625000000000e+02,3.505859375000000000e+02,2.773437500000000000e+02,3.232421875000000000e+02,2.714843750000000000e+02,1.914062500000000000e+02,6.738281250000000000e+01,3.154296875000000000e+02,2.197265625000000000e+02,1.406250000000000000e+02,8.593750000000000000e+01,8.593750000000000000e+01,5.468750000000000000e+01,2.343750000000000000e+01,-8.254730224609375000e+00
2.018000000000000000e+03,3.000000000000000000e+00,2.900000000000000000e+01,-7.370269775390625000e+00,1.332547302246093750e+02,1.254422302246093750e+02,1.332547302246093750e+02,1.410672302246093750e+02,1.654812927246093750e+02,1.898953552246093750e+02,3.363797302246093750e+02,3.647000427246093750e+02,3.529812927246093750e+02,3.441922302246093750e+02,3.100125427246093750e+02,4.037625427246093750e+02,1.518094177246093750e+02,3.950473022460937500e+01,3.070828552246093750e+02,2.836453552246093750e+02,2.904541969299316406e+02,2.270047302246093750e+02,1.723172302246093750e+02,1.098172302246093750e+02,7.856723022460937500e+01,3.121533203125000000e+01,8.254730224609375000e+00
2.018000000000000000e+03,3.000000000000000000e+00,3.000000000000000000e+01,-7.812500000000000000e+00,1.484375000000000000e+02,1.328125000000000000e+02,1.406250000000000000e+02,1.953125000000000000e+02,1.406250000000000000e+02,2.061705780029296875e+02,3.141257324218750000e+02,3.388671875000000000e+02,3.173828125000000000e+02,3.212890625000000000e+02,2.558593750000000000e+02,3.339843750000000000e+02,2.080078125000000000e+02,1.279296875000000000e+02,5.175781250000000000e+01,2.011718750000000000e+02,1.289062500000000000e+02,6.250000000000000000e+01,5.468750000000000000e+01,3.906250000000000000e+01,3.125000000000000000e+01,0.000000000000000000e+00,-2.343750000000000000e+01
2.018000000000000000e+03,3.000000000000000000e+00,3.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,-7.812500000000000000e+00,-7.812500000000000000e+00,0.000000000000000000e+00,1.562500000000000000e+01,4.893457794189453125e+01,1.132812500000000000e+02,8.496093750000000000e+01,6.250000000000000000e+01,6.445312500000000000e+01,5.175781250000000000e+01,6.445312500000000000e+01,9.082031250000000000e+01,7.324218750000000000e+01,1.025390625000000000e+02,1.005859375000000000e+02,3.222656250000000000e+01,1.562500000000000000e+01,3.125000000000000000e+01,1.562500000000000000e+01,2.343750000000000000e+01,7.812500000000000000e+00,7.812500000000000000e+00
2.018000000000000000e+03,4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-7.812500000000000000e+00,-7.812500000000000000e+00,-1.562500000000000000e+01,-1.562500000000000000e+01,1.171875000000000000e+01,-2.544000625610351562e+00,4.785156250000000000e+01,9.765625000000000000e+01,1.718750000000000000e+02,9.277343750000000000e+01,1.982421875000000000e+02,8.886718750000000000e+01,7.812500000000000000e+01,6.542968750000000000e+01,9.765625000000000000e+01,8.007812500000000000e+01,3.860293579101562500e+01,1.562500000000000000e+01,3.125000000000000000e+01,2.343750000000000000e+01,2.343750000000000000e+01,1.562500000000000000e+01,1.562500000000000000e+01
2.018000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,-7.812500000000000000e+00,1.328125000000000000e+02,1.406250000000000000e+02,1.328125000000000000e+02,1.640625000000000000e+02,1.523437500000000000e+02,2.207031250000000000e+02,3.173828125000000000e+02,3.623046875000000000e+02,3.720703125000000000e+02,4.990234375000000000e+02,3.701171875000000000e+02,3.574218750000000000e+02,2.519531250000000000e+02,2.265625000000000000e+02,1.064453125000000000e+02,3.271484375000000000e+02,2.421875000000000000e+02,1.875000000000000000e+02,1.171875000000000000e+02,9.375000000000000000e+01,4.687500000000000000e+01,1.562500000000000000e+01,-1.562500000000000000e+01
2.018000000000000000e+03,4.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.484375000000000000e+02,1.484375000000000000e+02,1.328125000000000000e+02,2.187500000000000000e+02,1.601562500000000000e+02,2.167968750000000000e+02,3.046875000000000000e+02,6.982421875000000000e+02,3.730468750000000000e+02,3.427734375000000000e+02,3.183593750000000000e+02,4.404296875000000000e+02,2.666015625000000000e+02,1.220703125000000000e+02,4.169921875000000000e+02,3.544921875000000000e+02,2.783203125000000000e+02,1.875000000000000000e+02,1.093750000000000000e+02,9.375000000000000000e+01,7.031250000000000000e+01,2.343750000000000000e+01,7.812500000000000000e+00
2.018000000000000000e+03,4.000000000000000000e+00,4.000000000000000000e+00,-1.562500000000000000e+01,1.328125000000000000e+02,1.328125000000000000e+02,1.406250000000000000e+02,1.953125000000000000e+02,1.562500000000000000e+02,2.392578125000000000e+02,3.320312500000000000e+02,3.173828125000000000e+02,3.291015625000000000e+02,3.505859375000000000e+02,3.193359375000000000e+02,3.505859375000000000e+02,3.222656250000000000e+01,1.494140625000000000e+02,3.134765625000000000e+02,2.861328125000000000e+02,2.500000000000000000e+02,2.031250000000000000e+02,1.328125000000000000e+02,1.015625000000000000e+02,6.250000000000000000e+01,1.562500000000000000e+01,-1.562500000000000000e+01
2.018000000000000000e+03,4.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e+02,1.640625000000000000e+02,1.562500000000000000e+02,2.265625000000000000e+02,3.155806732177734375e+02,2.314453125000000000e+02,3.486328125000000000e+02,3.642578125000000000e+02,4.462890625000000000e+02,3.855915374755859375e+02,3.066406250000000000e+02,3.583984375000000000e+02,1.982421875000000000e+02,2.148437500000000000e+01,3.212890625000000000e+02,2.968750000000000000e+02,2.578125000000000000e+02,2.031250000000000000e+02,1.250000000000000000e+02,1.015625000000000000e+02,7.812500000000000000e+01,3.437500000000000000e+02,3.515625000000000000e+02
2.018000000000000000e+03,4.000000000000000000e+00,6.000000000000000000e+00,-2.343750000000000000e+01,1.250000000000000000e+02,1.171875000000000000e+02,1.171875000000000000e+02,1.484375000000000000e+02,-1.875000000000000000e+02,-1.005859375000000000e+02,3.613281250000000000e+01,1.845703125000000000e+02,1.826171875000000000e+02,4.687500000000000000e+01,-3.515625000000000000e+01,-4.882812500000000000e+00,-6.835937500000000000e+01,-1.640625000000000000e+02,-2.685546875000000000e+02,-1.660156250000000000e+02,-2.099609375000000000e+02,-2.968750000000000000e+02,-2.968750000000000000e+02,-3.046875000000000000e+02,-3.281250000000000000e+02,-2.500000000000000000e+02,-1.875000000000000000e+02
